delete,insert,replace,likelihood
-1.0,-1.0,3.0,0.0608465608466
-1.0,-1.0,4.0,0.0291005291005
-1.0,1.0,1.0,0.148148148148
-1.0,1.0,2.0,0.0291005291005
-1.0,2.0,1.0,0.00793650793651
-1.0,2.0,2.0,0.00793650793651
-1.0,3.0,-1.0,0.0185185185185
1.0,-1.0,1.0,0.272486772487
1.0,-1.0,2.0,0.0740740740741
1.0,-1.0,3.0,0.0185185185185
1.0,1.0,-1.0,0.145502645503
1.0,1.0,1.0,0.031746031746
2.0,-1.0,1.0,0.047619047619
2.0,-1.0,2.0,0.0343915343915
2.0,-1.0,3.0,0.010582010582
2.0,1.0,-1.0,0.010582010582
2.0,2.0,-1.0,0.00793650793651
3.0,-1.0,-1.0,0.0343915343915
3.0,-1.0,1.0,0.010582010582
